shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
203_0_1_shp,41.16311,-8.63339,241
203_0_1_shp,41.16291,-8.6332,242
203_0_1_shp,41.16277,-8.63309,243
203_0_1_shp,41.16266,-8.633,244
203_0_1_shp,41.16245,-8.63283,245
203_0_1_shp,41.16204,-8.63249,246
203_0_1_shp,41.16132,-8.63193,247
203_0_1_shp,41.16108,-8.63173,248
203_0_1_shp,41.16089,-8.63159,249
203_0_1_shp,41.16049,-8.63126,250
203_0_1_shp,41.16048,-8.63125,251
203_0_1_shp,41.16044,-8.63122,252
203_0_1_shp,41.15997,-8.63085,253
203_0_1_shp,41.15972,-8.63066,254
203_0_1_shp,41.15955,-8.63054,255
203_0_1_shp,41.15949,-8.63049,256
203_0_1_shp,41.15945,-8.63046,257
203_0_1_shp,41.15935,-8.63039,258
203_0_1_shp,41.15923,-8.63029,259
203_0_1_shp,41.15922,-8.63028,260
203_0_1_shp,41.15912,-8.63021,261
203_0_1_shp,41.15905,-8.63015,262
203_0_1_shp,41.15901,-8.63012,263
203_0_1_shp,41.15892,-8.63005,264
203_0_1_shp,41.15884,-8.62999,265
203_0_1_shp,41.15868,-8.62986,266
203_0_1_shp,41.15863,-8.62994,267
203_0_1_shp,41.15859,-8.62999,268
203_0_1_shp,41.15855,-8.63004,269
203_0_1_shp,41.1585,-8.63008,270
203_0_1_shp,41.15849,-8.63009,271
203_0_1_shp,41.15845,-8.63012,272
203_0_1_shp,41.15843,-8.63014,273
203_0_1_shp,41.15841,-8.63015,274
203_0_1_shp,41.15835,-8.63018,275
203_0_1_shp,41.1583,-8.63021,276
203_0_1_shp,41.15825,-8.63023,277
203_0_1_shp,41.15819,-8.63025,278
203_0_1_shp,41.15814,-8.63027,279
203_0_1_shp,41.15812,-8.63027,280
203_0_1_shp,41.15808,-8.63029,281
203_0_1_shp,41.15803,-8.63031,282
203_0_1_shp,41.158,-8.63031,283
203_0_1_shp,41.15797,-8.63032,284
203_0_1_shp,41.15791,-8.63033,285
203_0_1_shp,41.15786,-8.63033,286
203_0_1_shp,41.15783,-8.63033,287
203_0_1_shp,41.1578,-8.63033,288
203_0_1_shp,41.15775,-8.63033,289
203_0_1_shp,41.15771,-8.63032,290
203_0_1_shp,41.15764,-8.6303,291
203_0_1_shp,41.1576,-8.63029,292
203_0_1_shp,41.15757,-8.63027,293
203_0_1_shp,41.15755,-8.63026,294
203_0_1_shp,41.15752,-8.63025,295
203_0_1_shp,41.15749,-8.63023,296
203_0_1_shp,41.15743,-8.63019,297
203_0_1_shp,41.15738,-8.63015,298
203_0_1_shp,41.15736,-8.63013,299
203_0_1_shp,41.15734,-8.63011,300
203_0_1_shp,41.15729,-8.63006,301
203_0_1_shp,41.15725,-8.63,302
203_0_1_shp,41.15721,-8.62995,303
203_0_1_shp,41.15717,-8.62989,304
203_0_1_shp,41.15714,-8.62983,305
203_0_1_shp,41.15711,-8.62976,306
203_0_1_shp,41.15708,-8.6297,307
203_0_1_shp,41.15707,-8.62967,308
203_0_1_shp,41.15705,-8.62963,309
203_0_1_shp,41.15703,-8.62956,310
203_0_1_shp,41.15703,-8.62954,311
203_0_1_shp,41.15701,-8.62948,312
203_0_1_shp,41.15701,-8.62946,313
203_0_1_shp,41.157,-8.62941,314
